sector,ministry,type,amount,percent_of_gdp
Social Development,Education,Operating,13090,0.026
Social Development,Education,Development,530,0.001
Social Development,National Development,Operating,4149,0.008
Social Development,National Development,Development,1380,0.003
Social Development,Health,Operating,17355,0.034
Social Development,Health,Development,1490,0.003
Social Development,Sustainability and the Environment,Operating,1849,0.004
Social Development,Sustainability and the Environment,Development,1055,0.002
Social Development,"Culture, Community and Youth",Operating,1914,0.004
Social Development,"Culture, Community and Youth",Development,358,0.001
Social Development,Social and Family Development,Operating,4014,0.008
Social Development,Social and Family Development,Development,99,0
Social Development,Communications and Information,Operating,590,0.001
Social Development,Communications and Information,Development,39,0
Social Development,Manpower,Operating,1556,0.003
Social Development,Manpower,Development,4,0
Security and External Relations,Defence,Operating,14803,0.029
Security and External Relations,Defence,Development,558,0.001
Security and External Relations,Home Affairs,Operating,6544,0.013
Security and External Relations,Home Affairs,Development,1332,0.003
Security and External Relations,Foreign Affairs,Operating,421,0.001
Security and External Relations,Foreign Affairs,Development,13,0
Economic Development,Manpower,Operating,5519,0.011
Economic Development,Manpower,Development,98,0
Economic Development,Transport,Operating,4051,0.008
Economic Development,Transport,Development,7015,0.014
Economic Development,Trade and Industry,Operating,2052,0.004
Economic Development,Trade and Industry,Development,5123,0.01
Economic Development,Info-Communications and Media Development,Operating,790,0.002
Economic Development,Info-Communications and Media Development,Development,22,0
Government Administration,Finance,Operating,1928,0.004
Government Administration,Finance,Development,140,0
Government Administration,Law,Operating,261,0.001
Government Administration,Law,Development,220,0
Government Administration,Organs of State,Operating,607,0.001
Government Administration,Organs of State,Development,104,0
Government Administration,Prime Minister's Office,Operating,973,0.002
Government Administration,Prime Minister's Office,Development,293,0.001
